Map Name,Series ID,Published GIS Uploaded to Postgres,Publication Year,Vector GIS Published,Tabular GIS Altered,Unit Symbol Source,Unit Name Source,Unit Description Source,Unit Age Source,Notes,genesis Source,composition Source,source Source,confidence Source
Wildcat Mountain and Currie Quads,OFR-773,FALSE,2025,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Copied from PDF,,,,,
Fort Douglas Quad,OFR-767,FALSE,2024,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Internal GIS Database,,,,,
Ogden Bay Quad,OFR-766,FALSE,2024,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Both,Internal GIS Database,"*There’s no unit description in the internal GIS attribute table for Qlam/Qs, so Qlam and Qs's unit descriptions were concatenated together. All other descriptions come straight from the internal GIS database as-is.",,,,
Plain City SW Quad,OFR-765,FALSE,2024,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Parowan Quad,OFR-764,FALSE,2024,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Copied from PDF,,,,,
Kamas Quad,OFR-763,FALSE,2024,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Vernal NE Quad,OFR-762,FALSE,2024,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Midvale Quad,OFR-761,FALSE,2024,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Internal GIS Database,,,,,
Browns Hole Quad,OFR-760,FALSE,2023,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Promentory Point Quad,OFR-739,FALSE,2021,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Bonneville Salt Flats Quad,OFR-731,FALSE,2020,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Burrville Quad,OFR-696,FALSE,2019,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Vernal NW Quad,BYU_SA-6564_Vernal_NW,FALSE,2017,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Gooseberry Creek Quad,OFR-641,FALSE,2016,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Kelton Pass SE Monument Peak SW Quad,MP-16-1DM,FALSE,2016,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Internal GIS Database,,,,,
Short Canyon Quad,M-255DM,FALSE,2013,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Copied from PDF,,,,,
Provo Quad,M-233,FALSE,2009,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Copied from PDF,,,,,
Loa East Quad,OFR-489,FALSE,2007,FALSE,TRUE,Internal GIS Database,Internal GIS Database,Copied from PDF,Internal GIS Database,,,,,
Beaver Quad,OFR-454,FALSE,2005,FALSE,TRUE,Internal GIS Database,Copied from PDF,Copied from PDF,Copied from PDF,,,,,
Thermo Quad,GQ-1493,FALSE,1978,FALSE,FALSE,Internal GIS Database,Internal GIS Database,Internal GIS Database,Internal GIS Database,,,,,
Blanding North Quad,OFR-771DM,FALSE,2025,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Francis Quad,OFR-770DM,FALSE,2025,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Huntsville Quad,OFR-772DM,FALSE,2025,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Salt Lake City North Quad,OFR-768DM,FALSE,2024,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Cedar City Quad,M-302dm,FALSE,2024,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Duchesne Quad,M-300DM,TRUE,2024,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Jarvis Peak Quad,OFR-753DR,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Clifton Quad,OFR-752DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Rill Creek Kane Springs Quad,MP-175DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Gold Hill Quad,M-301DR,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Kanarraville Quad,M-299DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Bountiful Peak Quad,M-298DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Rush Valley Quad,M-294DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Loa West Quad,M-292DM,FALSE,2023,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Park City West Quad,M-297DM,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Park City East Quad,M-296DM,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Heber City Quad,M-295DM,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Hurricane Quad,M-293DR,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
St George Quad,M-291DR,FALSE,2022,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Peterson Quad,OFR-734DM,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Newfoundland Mtns Quad,MP-173DM,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Tickville Spring Quad,M-290DR,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Bicknell Quad,M-289DM,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Lyman Quad,M-288DM,FALSE,2021,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Beaver NW Quad,OFR-729DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Deep Creek Mtns WSA Quad,OFR-717DR,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Grouse Creek Quad,OFR-716DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Swallow Cnyn Quad,MP-171DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Allens Ranch Quad,M-287DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Goshen Pass Quad,M-286DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Sugar House Quad,M-285DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Tooele Quad,M-284DM,FALSE,2020,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Cedar Mesa Bndry Butte Quad,OFR-713DR,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Dirty Devil Quad,OFR-711DR,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Mt Ellen Blue Hills Quad,OFR-710DR,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Promontory Mtns Quad,OFR-698DR,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Beaver SW Quad,OFR-686DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Salt Lake City South Quad,M-283DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Saltair NE Quad,M-282DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Baileys Lake Quad,M-281DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Antelope Island South Quad,M-280DM,FALSE,2019,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Escalante Quad,OFR-690DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,*GIS Download's geolunit shapefile is broken,,,,
Draper Quad,OFR-683DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Trout Creek SE Quad,OFR-682DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Granite Mtn Quad,OFR-681DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Leppy Peak Area Quad,OFR-680DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Grayback Hills Quad,OFR-679DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Milford Frisco Quad,OFR-674DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Mountain Home Indian Peak Range Quad,OFR-673DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Indian Peak Range Quad,OFR-672DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Southern Pine Valley Quad,OFR-671DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Lake Mountain Quad,MP-18-2DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Farmington Quad,M-279DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Willard Quad,M-278DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Copperton Quad,M-219DM,FALSE,2018,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Magna Quad,M-216DM,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Antelope Island Quad,M-127DR,FALSE,2018,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Blue Mountain Lund Quad,OFR-678DM,FALSE,2017,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
White Canyon Area Quad,OFR-675DM,FALSE,2017,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,,,,,
Ogden Quad,OFR-653DM,FALSE,2016,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,"*Units come from ""composition"" field",,,,
East Salina Quad,OFR-642,FALSE,2016,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Mount Powell Quad,MP-16-5DM,FALSE,2016,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Ephraim Quad,M-275DM,FALSE,2016,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Dugway Quad,M-274DM,FALSE,2016,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Kings Peak Quad,MP-15-3DM,FALSE,2015,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Hogup Bar Quad,MP-15-2DM,FALSE,2015,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Goshen Quad,M-272DM,FALSE,2015,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Santa Clara Quad,M-271DM,FALSE,2015,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Panguitch Quad,M-270DM,FALSE,2015,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
San Rafael Desert Quad,M-267DM,FALSE,2015,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Haycock Mountain Quad,M-269DM,FALSE,2014,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Panguitch Lake Quad,M-268DM,FALSE,2014,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Vernon NE Quad,M-266DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Faust Quad,M-265DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
St. John Quad,M-264DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Brian Head Quad,M-263DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
George Mountain Quad,M-262DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Johnson Lakes Quad,M-261DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
The Windows Section Quad,M-260DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Mollie Hogans.gdb Quad,M-259DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Klondike Bluffs Quad,M-258DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Yellowjacket Canyon Quad,M-256DM,FALSE,2013,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Ophir Quad,M-257DM,FALSE,2012,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Hite Crossing Quad,M-254DM,FALSE,2012,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Plain City Quad,M-253DM,FALSE,2012,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Provo Quad,OFR-586DM,FALSE,2011,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Copied from PDF,,,,,
Elk Ridge Quad,MP-11-1DM,FALSE,2011,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Henrie Knolls Quad,M-252DM,FALSE,2011,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
White Hills Quad,M-250DM,FALSE,2011,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Thompson Point Quad,M-249DM,FALSE,2011,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Kanab Quad,M-248DM,FALSE,2011,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Kings Peak Quad,MP-10-1DM,FALSE,2010,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
St. George Quad,M-242DM,FALSE,2010,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Seep Ridge Quad,OFR-549DM,FALSE,2009,TRUE,FALSE,Published GIS Database,Published GIS Database,Published GIS Database,Published GIS Database,"*Units come from ""composition"" field",,,,
White Canyon Good Hope Bay Quad,MP-08-3DM,FALSE,2008,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Kanab Quad,MP-08-2DM,FALSE,2008,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Smoky Mountain Quad,M-213DM,FALSE,2008,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Richfield Quad,M-195DM,FALSE,2008,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Vernal Quad,OFR-506DM,FALSE,2007,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Logan Quad,MP-06-8DM,FALSE,2007,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Abajo Mountains Quad,MP-06-7DM,FALSE,2007,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Lower Escalante River Quad,MP-06-3DM,FALSE,2007,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Manti Quad,M-212DM,FALSE,2007,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Dutch John Quad,OFR-491DM,FALSE,2006,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Cedar City Quad,OFR-476DM,FALSE,2006,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Tule Valley Quad,M-222DM,FALSE,2006,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Lynndyl Quad,M-211DM,FALSE,2005,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Lehi Quad,M-210,FALSE,2005,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Jordan Narrows Quad,M-208,FALSE,2005,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Delta Quad,M-206DM,FALSE,2005,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Lower San Juan River Quad,OFR-443DM,FALSE,2004,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Westwater Quad,OFR-441DM,FALSE,2004,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Huntington Quad,OFR-440DM,FALSE,2004,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Wah Wah Mountains North Quad,M-207DM,FALSE,2004,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
La Sal Quad,M-205,FALSE,2004,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Price Quad,M-198DM,FALSE,2003,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Salt Lake City Quad,M-190DM,FALSE,2003,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Nephi Quad,M-189DM,FALSE,2002,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,
Moab Quad,M-180DM,FALSE,2002,TRUE,TRUE,Published GIS Database,Published GIS Database,Copied from PDF,Published GIS Database,,,,,